cellid,ApoE,Au,B7H3,CD133,CD14,CD163,CD31,CD3e,CD4,CD45,CD47,CD70,CD8a,EGFR,EGFRvIII,EphA2,FOXP3,Fe,GD2,GFAP,GM2_GD2,GPC2,H3K27M,H3K27me3,HER2,HLA1,HLADR,IDH1_R132H,IL13RA2,Ki67,NG2,NeuN,Noodle,Nuclear,Olig2,TMEM119,VISTA,YAP_TAZ,area,major_axis_length,minor_axis_length,perimeter,convex_area,equivalent_diameter,centroid.0,centroid.1,fov
568245,0.071114220431162,4.69420349121094,0.205417318802248,0.267541076297312,0.028245716023477,0.0047259977693548,0.334659139720848,0.133115813306127,0.0878685286054796,0.0272744812886517,0.0476233960457809,0.319101392822933,0.0101235247689847,0.174862737750632,0.0003466144912217,0.0494391562504368,0.24388940828967,0.0661050796508789,0.0002899067476391,0.0272985582537711,0.0233950728682072,0.0271773080664948,0.0264397929024365,0.0040168068095139,0.0459973495737402,0.114350311670068,0.0070069292467635,0.118576152635448,7.39828392397612e-06,0.0705843820494271,0.0409993475416075,0.171360913537812,0.000628917068243,0.0072896015644073,0.0148649242506656,0.125387453555386,0.0,3.65682784467936e-05,25,5.88747823775171,5.42586398650022,15.8994949366117,26,5.64189583547756,157.56,118.4,Stanford_TA551_R1C3
568246,0.0736206024907677,3.10836786244998,0.101734738660572,0.0980774930106397,0.0648395378612645,0.0274785241993193,0.0760343747899657,0.0604522552488631,0.0589642835530495,0.0437214147961324,0.0117167124244891,0.160183465494973,0.0114420426860225,0.0712666015731382,0.0203085355106543,0.0591199208272084,0.0477023497464222,0.0312784126698409,7.86991288320717e-05,0.0275811505428083,0.0164701565716476,0.148810850724088,0.0143161352766647,0.175794103642935,0.110251034302099,0.0860521216417667,0.0056792931272468,0.0651232512963613,0.0001178759723733,0.017877223471149,0.132422205569586,0.0362485902609581,0.0004221483812493,0.0245489903538016,0.0276252667150177,0.164676721755252,0.181252563896849,2.03091795021307e-05,531,27.6361347410341,25.3166493315808,86.7695526217005,555,26.0017345239577,156.38418079096,1385.9077212806,Stanford_TA551_R1C3
568247,0.0703395420152295,0.478054761886597,0.36824481397829,0.117733309971392,0.3715690075118,0.0634453853855628,0.033447610302106,0.199273323584299,0.106037258521731,0.378360308040957,0.0282351448365794,0.145994176509373,0.0233651607340612,0.068378840833129,0.0,0.190278519841777,0.0692125576696188,0.0756075143814087,5.86876603847486e-07,0.0519875419276386,0.0200258999054004,0.0604526979156866,0.0162698965621714,0.0029273640192849,0.168029069680968,0.208185680086962,0.0542943179462755,0.0999062286591885,0.0,0.0249266018130673,0.300344548445493,0.0386411441547788,0.0021932376548647,0.0096371680498123,0.0240490936663388,0.613263320536357,0.161005136830269,1.46101199788973e-05,40,7.83538394200666,6.53886522887146,21.3137084989848,43,7.13649646461108,158.325,3.9,Stanford_TA551_R1C3
568248,0.0637557210863177,1.70016817304028,0.153892324803183,0.214357455003537,0.051333304423423,0.0354657303527508,0.0563339024504422,0.101067099402743,0.114097825581775,0.0248817026610449,0.0176521880523289,0.143410121710188,0.0078051785097695,0.362855039057795,0.0229696215032052,0.0483256659534275,0.0278323605707174,0.0522767866753726,7.83159112729006e-05,0.0529581477250355,0.021298731236584,0.155090161277831,0.026423098626637,0.0472045086116965,0.0886063042966076,0.226960296150122,0.0178651747002755,0.0629931931828704,6.70590415233519e-05,0.0691832879099831,0.143133517044398,0.0269703632061023,0.0007895861960262,0.027208406974406,0.0643345728372696,0.125969195621733,0.108906209446976,9.40031856018875e-05,533,30.4352835683313,22.3693878841685,85.5979797464467,551,26.0506559868239,157.249530956848,35.9249530956848,Stanford_TA551_R1C3
568249,0.046802998208167,1.99802387936014,0.151047247341705,0.108390876974072,0.0838058759183717,0.0462378836150135,0.0618791925584765,0.0860315518334208,0.0675067527509568,0.0491990160887446,0.017482525276917,0.193127821300604,0.0229012553034731,0.090130483824131,0.0521322643801542,0.0305224761229901,0.0528154095786116,0.0282615037031576,0.0001078577856467,0.0166410062962582,0.0201418074360201,0.139685823271225,0.0161065382097563,0.219928066428549,0.125463472596031,0.151108010596222,0.0409674457380936,0.059614682689495,5.98899442964876e-05,0.0193720625400411,0.108458663036444,0.0334827984726098,0.0004746563942499,0.0311417915451694,0.0258848203016847,0.179983434121086,0.051080807877374,3.16693421295831e-05,568,30.119429765244,24.0531068312609,87.3553390593274,583,26.8923792441199,158.299295774648,222.154929577465,Stanford_TA551_R1C3
568250,0.0149068583865628,1.68933374561623,0.283386163183239,0.0412234113358831,0.0128126762696064,0.0263322321008696,0.131308628813032,0.125322360133352,0.119113547204731,0.0152065837138314,0.0139298603437488,0.178369266984524,0.0145941108404311,0.0113486755414205,0.0450225547790825,0.037931007016671,0.0587703729255878,0.0157419407296037,0.00011533768269,0.0056267174612785,0.0202110290797962,0.155345209224591,0.0089008243553733,0.113785358773826,0.0786411207595231,0.0887964355061554,0.0086370078031004,0.0702800821689938,3.86104689451879e-05,0.0222209910865338,0.620632643952662,0.0675202598807785,0.000540055349499,0.0258443025883309,0.0632880252812384,0.168209486145892,0.0699200123333894,7.34896378550596e-05,499,31.147737882232,20.4923155019813,84.4264068711929,518,25.2060812666873,157.462925851703,909.939879759519,Stanford_TA551_R1C3
568251,0.100127837730917,1.98260301159274,0.151093332883598,0.112091701486051,0.0280108103203813,0.0106144585895837,0.100220723731729,0.108100918495151,0.121232873332122,0.0138723342328895,0.0266526408578615,0.385937212423017,0.0108850673749147,0.134848072099653,0.0849946107645522,0.0594061245518322,0.0577151358160594,0.0443270375651697,5.54366457846857e-05,0.034218409387675,0.022152452382194,0.0604334213719287,0.0300792931296868,0.0368901997989846,0.257657728211569,0.161370354548614,0.0094633925014603,0.0644458958492231,4.79870145359347e-05,0.0696929606075136,0.185573422886773,0.0445091345784327,0.000429777656832,0.014365666912448,0.0301674943040008,0.0604107204228741,0.067050352633663,8.09453307620941e-05,155,14.2920824366505,13.7907757261392,43.2132034355964,160,14.0482073388013,159.522580645161,291.335483870968,Stanford_TA551_R1C3
568252,0.0070806888228328,2.21218225074754,0.202305439112407,0.073213370505316,0.0172989744332594,0.0343727656539322,0.163639270186947,0.107191840616449,0.0873004700128869,0.0169829032321142,0.0087246732107004,0.096984422637385,0.0100657297508563,0.0078556530286847,0.0291597836344663,0.0203326782876915,0.060601182090624,0.0048802883047994,8.23060746040845e-05,0.0034823514550369,0.0265420841764513,0.183542959901819,0.0137454013749856,0.415740655060659,0.101983559464716,0.10339741584919,0.0061212590383532,0.0801200755682047,3.98099967619268e-05,0.0079085885256134,0.152796361452931,0.0417595614792301,0.0003451427364438,0.0289251245208797,0.037891808786888,0.124726537095405,0.172391515332194,5.31498804045439e-06,533,26.3624472651654,25.8737713147013,85.0121933088198,552,26.0506559868239,159.647279549719,936.013133208255,Stanford_TA551_R1C3
568253,0.0170251930790032,2.81127305141715,0.231031594305861,0.0687268922929647,0.0219776309439345,0.0297330797716584,0.0745910496970787,0.175370610861291,0.0549476649468504,0.007514325091228,0.0313902523997667,0.124390695822058,0.0313741960819454,0.008655689730099,0.0556214877717879,0.0373486135639856,0.0684257280152452,0.0033865601517433,7.32116747734159e-05,0.004317859897578,0.0207153917302816,0.15812319391408,0.0133787740106765,0.0778119473230441,0.0772517106255242,0.0538649914658208,0.0081041106271015,0.0872372995562957,0.0001551025135572,0.0542897273704549,0.243567069287352,0.0607999973697323,0.0006646531958912,0.0395954620006472,0.0386050536580899,0.227105370761685,0.19449524841008,3.40924879839254e-05,215,17.8902352873833,15.6969147281886,54.0416305603426,226,16.5452864018143,160.711627906977,674.4,Stanford_TA551_R1C3
568254,0.100192865130098,27.2923570858535,0.229307191705541,0.3765141697746,0.0223596735569705,0.0290889510604232,0.0363353197010554,0.1903209563865,0.0871085696131689,0.0438442587862189,0.0723869862587625,0.453439115559808,0.0094461325876447,0.687524961185322,0.034739950725636,0.115279953105832,0.127307106539146,0.0476013101557249,9.54755952441564e-05,0.0505854559371237,0.0267307377059636,0.272362541404627,0.0262414024360593,0.0186065568514043,0.227805488652379,0.386024791240619,0.0584988938309664,0.0793751846796179,0.0001002874886316,0.0691727728523234,0.374630115337602,0.0836480948328315,0.0003387593534044,0.0093946328727147,0.0592378889653505,0.0886461325029659,0.0855859036184804,6.0648120368921e-06,93,12.4730599719121,9.51877480035881,34.142135623731,99,10.8816946134492,162.268817204301,331.333333333333,Stanford_TA551_R1C3
